#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,344.000939
-50.0,50,344.224734
-50.0,50,344.459249
-23.0,24,344.568242
-50.0,50,344.772861
-50.0,50,344.992533
-28.0,29,345.127371
-50.0,50,345.350669
-50.0,50,345.565171
-50.0,50,345.788229
0.0,1,345.796853
-50.0,50,346.01511
-50.0,50,346.244337
-50.0,50,346.462404
-50.0,50,346.685931
0.0,1,346.693894
-50.0,50,346.921934
-10.0,11,346.977177
-50.0,50,347.191793
-50.0,50,347.416839
-50.0,50,347.647592
-50.0,50,347.865946
-50.0,50,348.072404
-50.0,50,348.275082
-50.0,50,351.116832
-23.0,24,351.259761
-16.0,17,351.338594
-45.0,46,351.537123
-28.0,29,351.668226
-50.0,50,351.873322
-5.0,6,351.902559
-50.0,50,352.119943
-50.0,50,352.352254
-50.0,50,352.576275
-50.0,50,352.797013
-50.0,50,353.010394
-50.0,50,354.179276
-50.0,50,355.141119
-40.0,41,356.132335
-50.0,50,357.212682
-33.0,34,358.123187
-50.0,50,359.17067
-20.0,21,360.148979
-50.0,50,361.191315
-50.0,50,362.19578
-50.0,50,363.21351
-50.0,50,363.506313
-50.0,50,363.730736
-24.0,25,363.866719
-50.0,50,364.084181
-50.0,50,364.305593
-50.0,50,364.513255
-15.0,16,364.576319
-50.0,50,364.797539
-42.0,43,364.993827
-50.0,50,365.216563
-50.0,50,365.440164
-6.0,7,365.482741
-50.0,50,365.729308
-50.0,50,365.945117
-50.0,50,366.173298
-50.0,50,366.414315
-3.0,4,366.458621
-50.0,50,366.66251
-37.0,38,366.82576
-11.0,12,366.888798
-50.0,50,367.10092
-50.0,50,367.310343
-50.0,50,367.522295
-50.0,50,367.730379
-50.0,50,367.93832
-50.0,50,368.153424
-50.0,50,368.389864
-12.0,13,368.448595
-50.0,50,371.327006
0.0,1,371.34075
-50.0,50,371.573471
-50.0,50,371.793814
-6.0,7,371.831556
-15.0,16,371.898041
-50.0,50,372.119194
-50.0,50,372.331729
-50.0,50,372.555199
-50.0,50,372.791509
-42.0,43,372.987726
-50.0,50,373.191125
-50.0,50,373.417237
-50.0,50,373.646714
-50.0,50,373.861974
-50.0,50,374.080513
0.0,1,374.105981
-19.0,20,374.207952
-50.0,50,374.449708
-50.0,50,374.68016
-50.0,50,374.882835
-50.0,50,375.11984
-50.0,50,375.348186
-50.0,50,375.558791
-50.0,50,375.775304
-14.0,15,375.853083
-50.0,50,376.068966
-50.0,50,376.294561
-50.0,50,376.507698
-50.0,50,376.730527
-50.0,50,376.950598
-50.0,50,377.14379
-50.0,50,377.377559
-50.0,50,377.598318
-50.0,50,377.80683
-50.0,50,378.041115
-50.0,50,378.254247
-50.0,50,378.475524
-50.0,50,378.706086
-50.0,50,378.928192
-4.0,5,378.959082
-50.0,50,379.157402
-50.0,50,379.379985
-50.0,50,379.600479
-50.0,50,379.816552
-50.0,50,380.034255
-4.0,5,380.068321
-50.0,50,380.283693
-50.0,50,383.400494
-50.0,50,383.618938
-50.0,50,383.842215
-2.0,3,383.863494
-50.0,50,384.064431
-50.0,50,384.300621
-50.0,50,384.525032
-50.0,50,384.751588
-50.0,50,384.981136
-43.0,44,385.163909
-50.0,50,385.383063
-50.0,50,385.633937
-24.0,25,385.74512
-50.0,50,385.963304
-50.0,50,386.219126
-50.0,50,386.411685
-50.0,50,386.619146
-50.0,50,386.811353
-2.0,3,386.842091
-50.0,50,387.062997
-50.0,50,387.28321
-50.0,50,387.505622
-9.0,10,387.550636
-50.0,50,387.766395
-50.0,50,387.994549
-50.0,50,388.197729
-32.0,33,388.328029
-50.0,50,388.54945
-50.0,50,388.822311
-50.0,50,389.067527
-50.0,50,389.305353
-50.0,50,389.512201
-50.0,50,389.739488
-50.0,50,389.977455
-50.0,50,390.189256
-19.0,20,390.27775
-50.0,50,390.499895
-50.0,50,390.728366
-50.0,50,390.944595
-50.0,50,391.196289
-50.0,50,391.404171
-1.0,2,391.428501
-50.0,50,391.653683
-50.0,50,391.892492
-50.0,50,392.11875
-50.0,50,392.337863
-50.0,50,395.483715
-50.0,50,395.679645
-50.0,50,395.899508
-46.0,47,396.101896
-6.0,7,396.139509
-50.0,50,396.357883
-50.0,50,396.56021
-50.0,50,396.80074
-50.0,50,397.019856
-50.0,50,397.231336
-50.0,50,397.470015
-50.0,50,397.681888
-50.0,50,397.887325
-50.0,50,398.110245
-50.0,50,398.312488
-6.0,7,398.35234
-50.0,50,398.587998
-50.0,50,398.796725
-50.0,50,399.0108
-50.0,50,399.220007
-13.0,14,399.297006
-16.0,17,399.376144
-50.0,50,399.612773
-50.0,50,399.829364
-50.0,50,400.038633
-50.0,50,400.270778
-50.0,50,400.481757
-50.0,50,400.716112
-50.0,50,400.955406
-15.0,16,401.039523
-34.0,35,401.203992
-50.0,50,401.451738
-50.0,50,401.660652
-50.0,50,401.878844
-50.0,50,402.094136
-50.0,50,402.309635
-17.0,18,402.394365
0.0,1,402.39966
-50.0,50,402.615309
-50.0,50,402.858819
-50.0,50,403.065851
-50.0,50,403.294603
-17.0,18,403.37094
-8.0,9,403.416623
-50.0,50,403.631704
-50.0,50,403.842719
-50.0,50,404.042684
-3.0,4,404.070013
-50.0,50,404.278326
-18.0,19,406.921913
-50.0,50,407.185844
-50.0,50,407.402818
-50.0,50,407.604891
-50.0,50,407.799237
-50.0,50,408.007143
-50.0,50,408.23169
-50.0,50,408.449345
-50.0,50,408.657401
-50.0,50,408.878214
-50.0,50,409.121208
-50.0,50,409.346613
-50.0,50,409.555667
-12.0,13,409.621239
-50.0,50,409.834162
-5.0,6,409.873317
-5.0,6,409.904955
-50.0,50,410.158789
-50.0,50,410.372186
-50.0,50,410.578582
-50.0,50,411.330977
-50.0,50,411.545757
-50.0,50,411.746521
-10.0,11,411.796547
-50.0,50,412.029635
-50.0,50,412.255776
-19.0,20,412.351353
-50.0,50,412.550551
-50.0,50,412.754707
-50.0,50,412.962373
-50.0,50,413.184645
-2.0,3,413.205034
-50.0,50,413.558688
-50.0,50,413.843511
-11.0,12,413.894642
-50.0,50,414.086258
-50.0,50,414.315005
-50.0,50,414.529447
-50.0,50,414.742126
-50.0,50,414.945457
-50.0,50,415.150225
-50.0,50,415.348659
-41.0,42,415.524632
-50.0,50,415.727829
-50.0,50,415.949757
-50.0,50,416.156111
-50.0,50,416.360759
-50.0,50,419.20908
-50.0,50,419.443522
-50.0,50,419.658356
-50.0,50,419.877422
-50.0,50,420.088006
-50.0,50,420.335404
-2.0,3,420.366179
-50.0,50,420.583514
-50.0,50,420.799762
-27.0,28,421.772805
-50.0,50,422.147366
-50.0,50,422.360451
-50.0,50,422.607466
-50.0,50,422.81824
-50.0,50,423.033716
-16.0,17,423.111756
-50.0,50,423.336331
-50.0,50,423.554545
-27.0,28,423.676156
-41.0,42,423.862319
-50.0,50,424.069798
-50.0,50,424.274937
-1.0,2,424.285656
-50.0,50,424.503619
-50.0,50,424.701866
-50.0,50,424.946449
-50.0,50,425.172529
-50.0,50,425.399362
-50.0,50,425.629713
-50.0,50,425.851377
